1,18,1,0.0,.02,-10.
1,18,2,0.0,.02,-10.
1,19,3,0.0,.02,-10.
1,19,4,0.0,.02,-10.
1,20,5,0.0,.02,-10.
1,20,6,0.0,.02,-10.
1,20,7,0.0,.02,-10.
1,21,8,0.0,.02,-10.
1,21,9,0.0,.02,-10.
1,22,10,0.0,.02,-10.
1,22,11,0.0,.02,-10.
1,22,12,0.0,.02,-10.
1,23,13,0.0,.02,-10.
1,23,14,0.0,.02,-10.
1,24,15,0.0,.02,-10.
1,24,16,0.0,.02,-10.
1,24,17,0.0,.02,-10.
1,24,18,0.0,.02,-10.
1,25,19,0.0,.02,-10.
1,25,20,0.0,.02,-10.
1,25,21,0.0,.02,-10.
1,25,22,0.0,.02,-10.
1,26,23,0.0,.02,-10.
1,26,24,0.0,.02,-10.
1,27,25,0.0,.02,-10.
1,27,26,0.0,.02,-10.
1,28,27,0.0,.02,-10.
1,28,28,0.0,.02,-10.
1,28,29,0.0,.02,-10.
1,28,30,0.0,.02,-10.
1,28,31,0.0,.02,-10.
1,27,32,0.0,.02,-10.
1,27,33,0.0,.02,-10.
1,27,34,0.0,.02,-10.
1,27,35,0.0,.02,-10.
1,28,36,0.0,.02,-10.
1,29,37,0.0,.02,-10.
1,29,38,0.0,.02,-10.
1,30,39,0.0,.02,-10.
1,30,40,0.0,.02,-10.
1,31,41,0.0,.02,-10.
1,31,42,0.0,.02,-10.
1,32,43,0.0,.02,-10.
1,32,44,0.0,.02,-10.
1,33,45,0.0,.02,-10.
1,33,46,0.0,.02,-10.
1,33,47,0.0,.02,-10.
1,33,48,0.0,.02,-10.
1,33,49,0.0,.02,-10.
